bag_number,purple,green,red,yellow,orange,total_perf,d_purple,d_green,d_red,d_yellow,d_orange,total_def,bag_total,,,per_of_probability_defects_per_bag,per_of_probability_of_normal_skittles
1,3,25,6,14,6,54,0,0,2,1,1,4,58,55,4,7%,95%
2,12,11,10,14,9,56,0,1,2,1,4,8,64,58,8,13%,91%
3,8,13,6,17,10,54,0,5,0,1,1,7,61,57,7,11%,93%
4,13,9,12,9,10,53,1,0,2,1,1,5,58,57,5,9%,98%
5,13,7,8,13,11,52,0,0,1,1,3,5,57,57,5,9%,100%
6,17,7,10,14,8,56,0,0,3,0,1,4,60,62,4,7%,103%
7,5,7,21,8,14,55,2,1,2,0,2,7,62,62,7,11%,100%
8,14,7,13,11,11,56,2,0,1,1,1,5,61,64,5,8%,105%
9,13,10,8,16,6,53,0,2,2,1,2,7,60,62,7,12%,103%
10,11,14,6,10,12,53,0,4,0,1,1,6,59,63,6,10%,107%
11,5,14,10,14,13,56,1,3,0,1,1,6,62,67,6,10%,108%
12,9,9,13,13,9,53,1,6,3,1,3,14,67,65,14,21%,97%
13,7,13,9,16,9,54,1,0,0,0,1,2,56,67,2,4%,120%
14,10,9,15,8,13,55,1,1,0,0,2,4,59,69,4,7%,117%
15,9,9,14,17,6,55,0,1,1,1,1,4,59,70,4,7%,119%
16,6,12,12,12,11,53,0,5,1,1,2,9,62,69,9,15%,111%
17,7,12,9,21,5,54,1,4,3,0,0,8,62,71,8,13%,115%
18,15,11,9,12,6,53,0,8,1,0,1,10,63,71,10,16%,113%
19,11,12,9,12,6,50,0,4,4,0,0,8,58,69,8,14%,119%
20,11,11,12,11,13,58,0,0,0,0,1,1,59,78,1,2%,132%
21,8,10,10,13,11,52,1,4,2,1,6,14,66,73,14,21%,111%
22,12,12,12,13,8,57,1,0,0,0,0,1,58,79,1,2%,136%
23,9,10,9,14,9,51,3,4,2,0,1,10,61,74,10,16%,121%
24,12,10,11,10,9,52,0,2,3,0,0,5,57,76,5,9%,133%
25,7,11,7,14,15,54,3,5,0,0,1,9,63,79,9,14%,125%
26,8,10,14,14,7,53,1,2,1,2,1,7,60,79,7,12%,132%
27,12,8,12,11,9,52,1,4,3,0,3,11,63,79,11,17%,125%
28,8,11,13,10,10,52,0,6,1,0,3,10,62,80,10,16%,129%
29,8,12,16,9,13,58,0,0,1,1,0,2,60,87,2,3%,145%
30,10,7,7,16,14,54,0,3,4,0,3,10,64,84,10,16%,131%
31,9,13,6,12,13,53,3,5,0,0,1,9,62,84,9,15%,135%
32,7,11,8,15,13,54,1,3,0,1,3,8,62,86,8,13%,139%
33,11,12,9,16,8,56,0,0,1,1,2,4,60,89,4,7%,148%
34,6,10,16,6,17,55,1,2,3,1,4,11,66,89,11,17%,135%
35,11,12,9,13,10,55,1,2,5,2,0,10,65,90,10,15%,138%
36,8,7,15,9,18,57,2,1,0,1,0,4,61,93,4,7%,152%
37,10,14,9,11,7,51,0,4,2,0,4,10,61,88,10,16%,144%
38,12,9,11,16,7,55,0,1,0,2,1,4,59,93,4,7%,158%
39,8,11,19,11,4,53,0,3,1,0,2,6,59,92,6,10%,156%
