Pack of Skittles ,Red ,Green ,Yellow ,Purple ,Orange,Defects,Total of Skittles Per Pack 
1,3,6,4,6,8,2,28
2,8,6,4,6,3,4,29
3,6,7,6,5,3,3,30
4,6,6,4,5,3,4,28
5,6,7,6,5,2,4,31
6,6,7,4,5,1,2,29
7,6,6,6,6,1,1,32
8,9,6,4,5,1,1,33
9,3,6,6,4,1,1,29
10,4,6,6,2,1,3,29
11,4,6,4,2,1,3,28
12,3,9,6,2,1,4,33
13,4,6,4,4,1,4,32
14,3,9,4,34,1,5,65
15,4,3,6,4,9,5,41
16,4,3,4,4,9,5,40
17,5,3,4,4,9,1,42
18,3,6,6,4,9,1,46
19,5,3,4,4,5,1,40
20,3,3,6,4,5,1,41
21,3,3,4,2,5,11,38
22,5,3,4,2,3,1,39
23,3,2,4,2,3,2,37
24,3,6,6,2,3,2,44
25,3,2,4,2,3,2,39
26,3,2,9,2,3,2,45
27,5,2,4,2,4,2,44
28,5,6,4,2,5,2,50
29,3,2,8,2,5,2,49
30,6,2,4,21,5,2,68
31,3,4,4,6,5,2,53
32,3,4,4,1,5,2,49
33,3,4,2,12,5,2,59
34,3,4,2,3,5,2,51
35,3,4,2,3,5,2,52
36,3,4,4,4,5,2,56
37,3,6,3,4,5,2,58
38,3,4,3,6,5,2,59
39,3,4,4,6,5,2,61
40,7,4,4,5,5,2,65
41,2,6,4,5,5,2,63
42,3,4,5,5,5,2,64
43,2,4,7,5,5,2,66
44,2,9,7,6,5,2,73
45,2,6,8,5,5,2,71
46,3,2,5,5,5,2,66
47,2,2,6,5,5,2,67
48,2,2,7,5,5,2,69
49,3,2,6,5,5,2,70
50,5,2,4,5,5,2,71
51,4,6,4,5,5,2,75
52,3,2,3,5,5,2,70
53,4,2,3,5,5,2,72
54,4,2,3,5,5,2,73
55,4,6,3,6,5,2,79
56,4,4,3,6,5,2,78
57,4,4,3,6,5,2,79
58,4,4,3,6,5,2,80
59,3,6,2,7,5,2,82
60,4,4,2,7,5,2,82
61,4,4,2,7,5,2,83
62,4,4,2,7,5,2,84
63,4,4,2,2,5,2,80
64,4,4,2,2,5,2,81
65,4,6,1,2,5,2,83
66,3,6,1,8,5,2,89
67,4,5,1,2,5,2,84
68,4,5,1,6,5,2,89
69,4,6,4,6,5,2,94
70,4,5,11,6,5,2,101
71,4,5,13,6,5,2,104
72,3,6,4,6,5,2,96
73,4,5,4,6,5,2,97
74,4,5,3,6,5,2,97
75,4,5,3,6,5,2,98
76,4,5,3,2,5,2,95
77,2,5,3,6,5,2,98
78,2,5,3,8,5,2,101
79,2,5,3,8,5,2,102
80,2,5,3,8,5,2,103
81,3,5,3,8,5,2,105
82,2,5,3,9,5,2,106
83,2,5,3,9,5,2,107
84,2,5,3,9,5,2,108
85,3,5,3,9,5,2,110
86,2,5,3,6,5,2,107
87,2,5,3,7,5,2,109
88,3,5,6,7,5,2,114
89,3,5,6,7,5,2,115
90,3,5,6,5,5,2,114
91,3,5,6,5,6,2,116
92,3,5,6,5,6,2,117
93,3,5,6,5,3,2,115
94,3,6,6,5,3,2,117
95,3,5,4,2,3,2,112
96,3,5,4,2,3,2,113
97,3,5,4,2,5,2,116
98,3,5,4,2,5,2,117
99,3,5,7,2,5,2,121
100,3,5,7,2,5,2,122
